Command,Name,Path,Dialogue/Code,Position
DIALOGUE_DATA_START,,,,
,기자,,"네, 현재 화재 상황 제보 화면 들어왔습니다!",
,,,화면의 이곳은 주식회사 '내일'의 국내 최대 규모 의료기기 계열사 연구소입니다!,
,,,마법소녀 당국이 구조와 진화 작업에 나서고 있는 상황이며,
,,,"최근 국내외로 큰 주목을 받은 의료기기, 'AFUJIMA'가 현재 이 건물에 보관중인 것으로...",
,???,,좋아! 마지막 사람이야!,
,이바다,,어서 데리고 나가! 나는 AFJM을 확보하러 갈게!,
,???,,"이바다, 돌아와! 너무 위험해!",
,이바다,,"아니, AFUJIMA의 확보까지가 내 임무야!",
,,,나는 AFUJIMA를 확보하러 간다.,
,???,,그 검증도 안된 기계 하나때문에 저 불구덩이로 다시 뛰어들어간다고?,
,이바다,,이번에 AFJM가 박살나면 다시 만들 수도 없어!,
,,,AFJM를 확보하면 희귀병을 앓고 있는 많은 사람들을 살릴 가능성이 있으니까.,
,???,,너무 무모해! 지금 탈출하기도 빠듯한데…,
,천장에서 나는 소리,,삐걱,
,???,,그냥 포기하고 돌아와!,
,천장에서 나는 소리,,삐걱삐걱,
,???,,앗! 천장이 무너진다!,
,,,이바다! 피해!,
,천장이 무너지는 소리,,우지끈!,
,???,,이바다!,
,,,…,
,,,잔해에 길이 막혀버렸어…,
,이바다,,(하아...하아… 잔해 때문에 어깨가 박살났어…),
,,,(빨리 탈출해야 하는데…),
,,,(그 기계는 어디에…),
,,,…,
,,,…...,
,,,(찾았다.),
,,,"(좋아, 이제 빨리 탈출해야…)",
,,,!!!,
,,,(저건…),
,,,(아직 남아 있는 사람이…),
,,,(뭐지? 정보부가 인원 파악을 실수한건가?),
,,,(아니… 어찌 됐든 간에 이 사람도 구출해서…),
,,,(크흣! 어깨가…),
,,,(둘 다 구하는 건... 무리인가),
,,,(기계를 확보하면 많은 사람을 살릴 수 있는 가능성이 있어…),
,,,(하지만 확실히 검증된 것도 아니야.),
,,,(아니면 기계 말고 사람을 구해?),
,,,(…),
,,,(나는….),
,???,,이바다… 언제 나오는거야…,
,다른 마법소녀,,아! 저기 나온다!,
,???,,이바다! 빨리!,
,다른 마법소녀,,서둘러! 건물이 무너진다!,
,건물이 무너지는 소리,,쿠구궁,
DIALOGUE_DATA_END,,,,
