Command,Name,Path,Dialogue/Code,Position
DIALOGUE_DATA_START,,,,
,나바람,,왔구나.,
,바다,,오랜만이네.,
,,,"잘 지냈냐, 협회장님?",
,나바람,,"아… 응, 잘 지냈지.",
,,,….,
,,,너….,
,바다,,왜?,
,,,이 상처들 때문에 그래?,
,,,"신경 쓰지 마, 마법 소녀가 일하다 보면 어디 좀 부러지고 찢어질 수도 있는 거 아니겠어?",
,나바람,,….,
,,,볼 때마다 상처투성이네.,
,,,열심히 일하는 것도 좋지만 몸 좀 사려가면서 하도록 해.,
,바다,,알았어.,
,,,그래서 오늘은 갑자기 왜 부른거야? 정기 보고 날짜도 아닌데.,
,나바람,,오늘 널 부른 이유는,
,,,나도밤.,
,바다,,나도밤?!,
,나바람,,"그래, 맞아. 나도밤의 건 때문에 널 호출했어.",
,바다,,!!!,
,,,(아… 안돼! 또 녀석에 대한 트라우마가...),
,나바람,,"이바다, 떨지 말고 진정해.",
,,,일단 물을 마셔.,
,바다,,(꿀꺽 꿀꺽),
,,,하아... 하아... 그 극악무도한 녀석이... 또 무슨 일을 벌인거야?,
,,,이번엔 뭐지? 또 동물원의 곰에게 마력을 주입해서 크기를 20배로 키웠나?,
,,,그게 아니라면 또 우주 쓰레기를 청소한다는 말도 안되는 명분을 내세우며 다른 나라 인공위성에 마력 빔을 쏴서 외교 문제를 만들었나?,
,나바람,,"응? 아아, 그 때는 큰일이었지. 조금 비껴가서 흠집만 내고 그쳤지만.",
,바다,,이번엔….,
,,,이번엔 대체 무슨 일이야.,
,나바람,,….,
,,,"이바다, 나도밤과 관련해서 너에게 부탁할게 있어.",
,바다,,싫어….,
,나바람,,"이바다, 너만이 할 수 있는 일이야.",
,바다,,더 이상은 싫어….,
,나바람,,나도밤에게….,
,,,아이돌 활동을 시작하라고 얘기해줘.,
,바다,,싫…,
,,,아이돌?,
,나바람,,"그래, 아이돌.",
,바다,,"아아, 난 또 뭐라고~",
,나바람,,그리고 나도밤을 악당인 것 마냥 묘사하는 것도 이제 그만 둬.,
,,,나도밤도 견습 마법소녀니까.,
,,,넌 나도밤의 스승이잖아.,
,바다,,난 그 녀석이 사고치는게 제일 무서워. 허구한 날 사고를 치면 보호자인 내가 처리해야 하니까. 내 최대 적수는 그 녀석의 기행이야. 나한테는 그 녀석이 한니발이자 조커라고.,
,나바람,,….,
,,,이해는 할게.,
,바다,,그러는 너는 나도밤 친언니잖아? 나보다는 너가 설득하기 쉬운 거 아냐?,
,나바람,,나도 물론 이야기는 해봤어.,
,,,돌아온 답장이 이거야.,
,나바람,,친언니이자 마법소녀 협회장으로서 설득해봤지만 연예활동은 완곡하게 거절하고 있는 상황이야.,
,바다,,어….,
,나바람,,마법소녀의 주 임무는 정의의 실현.,
,,,하지만 더 나아가 아이들에게 꿈과 동경을 심어주는 것 또한 마법소녀가 해야 할 일.,
,,,그래서 나는 몇 년 전부터 마법소녀들이 연예계에 진출하도록 장려하는 프로젝트를 시행했지.,
,바다,,아이들의 꿈과 동경이라….,
,,,포장은 그럴싸하네.,
,나바람,,….,
,,,"그래, 누구나 아는 사실",
,,,연예계 활동의 진짜 목적은 마법소녀에 대한 국민들의 인식 개선과 홍보 활동.,
,,,"약 10년 전, 급격한 빌런들의 등장 감소로 인해 마법소녀들에 대한 국민들의 의존도가 떨어졌지.",
,,,거기에 맞물려 당시 등장한 안보업체 '내일'의 성장으로 우리의 입지는 더 줄어들었어.,
,,,"내일'은 빠르게 계열사를 늘려 의료, 아동보호, 범죄 예방 등 여러 분야에서 시민들을 도왔지.",
,,,따라서 마법소녀 당국의 규모 축소에 대한 목소리가 높아지는 상황이야.,
,,,그리고 우리의 입지를 약화시킨 결정적인 사건인….,
,바다,,아프지마의 확보 실패.,
,나바람,,….,
,,,"맞아, '내일'에서 개발한 모든 병을 치료하는 만병통치약 같은 의료기기, 아프지마.",
,,,학계를 비롯한 모든 사람들이 말도 안된다며 비웃었지만,
,,,내일'이 아프지마의 설계 이론을 발표한 후 학계는 뒤집어졌지.,
,,,농담이 아닐지도 모른다면서.,
,,,그런데,
,,,국내뿐만 아니라 해외의 관심도 크게 쏠린 상황에,
,,,한달 전 발생한 화재로 인해 아프지마의 제작을 진행하던 '내일'의 연구센터가 소실된 상황.,
,,,지구상에 얼마 없는 재료로 제작돼서 다시 만드는 것도 불가능….,
,바다,,….,
,나바람,,….,
,,,하아… 널 탓 할 마음은 없어.,
,,,"그리고 넌 한 사람을 살린 거야, 위축될 이유는 전혀 없다고.",
,,,애초에 인력 부족이 문제였던 일이니까-,
,바다,,"알았어, 잘 설득 해볼게.",
,바다의 스마트폰,,띠링~,
,,,"내일'도 상황이 안좋은가봐, 후유증이 커서 일을 제대로 못하나.",
,,,요즘들어 범죄 신고가 많이 들어오네?,
,,,나 가볼게.,
,,,처리해야 할 일도 들어왔고.,
,나바람,,"...그래, 나중에 봐.",
DIALOGUE_DATA_END,,,,
